id_transaction,transaction_date,transaction_amount,transaction_state,transaction_type,invoice_number,id_platform
TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,FAC2139,2
TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,FAC8752,2
TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,FAC8107,2
TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,FAC7475,2
TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,FAC3660,1
TXN073,2024-06-21 06:00:00,50713,Fallida,Pago de Factura,FAC9573,1
TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,FAC2238,1
TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,FAC6979,2
TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,FAC8740,2
TXN077,2024-06-04 07:00:00,190936,Fallida,Pago de Factura,FAC9872,1
TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,FAC9634,1
TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,FAC9210,1
TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,FAC3888,1
TXN081,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura,FAC7110,2
TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,FAC5649,2
TXN083,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura,FAC1490,2
TXN084,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura,FAC5439,2
TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,FAC4962,2
TXN086,2024-07-13 05:00:00,165402,Completada,Pago de Factura,FAC8801,1
TXN087,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura,FAC1904,1
TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,FAC7503,1
TXN089,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura,FAC7561,2
TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,FAC5390,1
TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,FAC1760,1
TXN092,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura,FAC3395,2
TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,FAC1926,2
TXN094,2024-07-26 00:00:00,61920,Completada,Pago de Factura,FAC7521,2
TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,FAC6693,1
TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,FAC1513,2
TXN097,2024-07-09 05:00:00,87689,Completada,Pago de Factura,FAC3039,2
TXN098,2024-07-06 00:00:00,178739,Fallida,Pago de Factura,FAC3709,1
TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,FAC3914,2
TXN100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura,FAC8875,2
